id,instruction,modality_hint,task,class
694,"For this case, can you correct low-dose noise in this X-ray image affecting the splenic tissue without blurring fine detail for immediate review?",X-ray,medical image restoration – denoising,noise
798,Would you reduce low-photon streaking in this PET scan affecting the bowel wall without introducing artificial smoothing for reliable interpretation?,PET,medical image restoration – low-dose artifact reduction,low-dose
46,Can you eliminate Poisson noise in this MRI image affecting the bowel wall while keeping anatomical boundaries sharp for immediate review?,MRI,medical image restoration – denoising,noise
447,"For this case, can you reconstruct the limited through-plane resolution in this MRI image affecting the spinal cord while keeping boundaries anatomically consistent as soon as possible?",MRI,medical image restoration – super-resolution,SR
470,"For this case, can you fix scanner motion blur affecting the pelvic organs without creating ringing artifacts as soon as possible?",implicit,medical image restoration – deblurring,blur
955,I need you to correct partial volume blur in this CT image affecting the bone trabeculae without creating ringing artifacts as soon as possible?,CT,medical image restoration – deblurring,blur
968,Is it possible to increase the coarse voxel resolution affecting the hippocampus while keeping boundaries anatomically consistent ?,implicit,medical image restoration – super-resolution,SR
736,Can you suppress statistical noise amplification in this X-ray scan affecting the pulmonary vessels without blurring fine anatomy for immediate clinical assessment?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
842,Could you reconstruct the limited through-plane resolution affecting the kidney cortex while preserving anatomical realism ?,implicit,medical image restoration – super-resolution,SR
640,Can you compensate for respiratory motion blur in this X-ray image affecting the vertebral bodies without introducing artificial edges for immediate review?,X-ray,medical image restoration – deblurring,blur
702,Could you sharpen the blurred detail due to low resolution in this PET image affecting the soft tissue planes without distorting small structures for immediate review?,PET,medical image restoration – super-resolution,SR
219,Can someone eliminate low-dose noise affecting the lung parenchyma while preserving subtle pathology urgently?,implicit,medical image restoration – denoising,noise
159,"For this case, can you remove Poisson noise in this CT image affecting the hip joint without compromising spatial resolution for reliable interpretation?",CT,medical image restoration – denoising,noise
416,Is it possible to minimize photon starvation noise in this PET image affecting the bone trabeculae without blurring fine detail for accurate diagnosis?,PET,medical image restoration – denoising,noise
611,Please reconstruct the insufficient in-plane resolution in this CT image affecting the bone trabeculae while keeping boundaries anatomically consistent as soon as possible?,CT,medical image restoration – super-resolution,SR
528,Can someone correct Rician noise affecting the meniscal tissue while maintaining diagnostic contrast ?,implicit,medical image restoration – denoising,noise
893,Can you improve the downsampled resolution in this X-ray image affecting the lesion boundaries without introducing artificial textures as soon as possible?,X-ray,medical image restoration – super-resolution,SR
301,Can you correct background acquisition noise in this CT image affecting the brain cortex without blurring fine detail for immediate review?,CT,medical image restoration – denoising,noise
882,I need you to sharpen the resolution degradation from fast acquisition in this X-ray image affecting the vascular lumen without hallucinating structures urgently?,X-ray,medical image restoration – super-resolution,SR
